date,alb_volume,apd_volume,dd_volume,ecl_volume,fcx_volume,lyb_volume,nem_volume,ppg_volume,scco_volume,shw_volume,alb_high,apd_high,dd_high,ecl_high,fcx_high,lyb_high,nem_high,ppg_high,scco_high,shw_high,alb_low,apd_low,dd_low,ecl_low,fcx_low,lyb_low,nem_low,ppg_low,scco_low,shw_low
2013-01-18,754700,1255473,5793772,941100,16631200,2672400,6738100,11176800,1869800,2851500,65.540001,82.201668,48.263077,73.870003,34.430000,62.590000,45.220001,71.750000,41.279999,54.743332,64.330002,81.211838,47.665302,73.019997,33.570000,61.529999,44.459999,68.875000,40.750000,53.926666
2013-01-22,1056600,1126510,5154188,1100000,28594800,3583900,7030700,11673200,2119400,2531400,64.699997,82.895470,48.433868,74.199997,35.500000,62.700001,45.709999,71.870003,41.720001,54.823334,63.980000,81.665123,47.992657,73.470001,34.000000,61.459999,44.560001,70.519997,41.080002,54.306667
2013-01-23,2728900,2117571,6846278,1091100,12277800,4122200,5962300,23592400,2218700,2171100,67.750000,83.246994,48.633125,74.019997,35.230000,62.160000,45.790001,71.885002,42.029999,54.950001,63.880001,81.017578,47.907261,73.139999,34.799999,61.160000,44.700001,70.930000,41.599998,54.463333
2013-01-24,1892000,1272121,7739222,898400,13212000,2664000,5554200,20920000,3098900,2748600,63.590000,82.044403,49.273598,73.720001,35.220001,62.820000,44.840000,73.055000,41.860001,55.746666,60.709999,80.804810,48.633125,73.019997,34.520000,62.209999,43.889999,71.264999,41.049999,54.939999
2013-01-25,1025300,1107160,5566408,736000,13130400,2332800,7200500,26017800,2031100,2355600,62.799999,82.081406,49.430157,73.519997,35.090000,62.970001,44.189999,73.995003,41.400002,55.616669,61.419998,81.350601,49.017410,72.779999,34.349998,62.180000,42.959999,71.334999,40.869999,55.033333
2013-01-28,879900,1028463,4964695,770400,9991200,5244700,6510500,16384600,4084300,2183400,63.349998,81.794632,49.330528,73.699997,34.990002,62.689999,43.509998,70.875000,40.250000,55.203335,62.099998,81.100830,48.718521,72.559998,34.400002,60.860001,42.549999,68.584999,39.299999,54.419998
2013-01-29,663600,1096999,6260233,563100,12531500,5482900,7142200,10351800,2949600,2321100,63.500000,82.469933,49.544022,73.019997,35.189999,63.549999,43.650002,70.650002,39.599998,54.766666,62.869999,81.396858,48.732758,72.029999,34.500000,61.500000,42.990002,69.565002,39.180000,54.086666
2013-01-30,552400,737026,7209596,757700,16230600,2485300,8940800,4009600,2186800,3636900,63.259998,82.294174,49.572487,73.000000,35.740002,63.549999,44.330002,71.455002,39.540001,54.866669,62.330002,81.295097,49.031643,72.169998,35.029999,62.759998,43.099998,69.879997,38.759998,53.849998
2013-01-31,715100,1185208,20940584,1198200,9909900,4498800,9403300,4834800,2012400,5520000,62.029999,81.591118,47.181393,72.970001,35.380001,64.199997,43.310001,70.099998,39.799999,54.913334,61.279999,80.823311,45.544632,71.989998,34.919998,62.200001,42.849998,68.885002,39.070000,53.270000
2013-02-01,725300,960360,9689449,995000,12494200,8406600,6312700,20167400,1991500,2528100,61.970001,82.312675,46.512455,73.989998,35.880001,63.220001,43.720001,70.459999,39.959999,54.900002,61.160000,81.452362,45.544632,72.449997,35.330002,60.320000,43.009998,68.974998,39.099998,54.083332
2013-02-04,609600,861233,6345600,2018500,9299600,4986900,5975500,11622000,1433800,2890800,61.990002,81.729881,46.370129,73.620003,35.820000,62.430000,44.560001,70.144997,39.980000,54.720001,61.119999,80.555038,45.701191,72.919998,35.259998,61.040001,43.430000,69.180000,39.380001,54.166668
2013-02-05,687200,886096,4634259,876600,11464800,3935300,4107800,12343000,1752000,2199600,62.700001,81.517113,46.341663,74.529999,35.950001,62.270000,44.470001,70.220001,40.330002,54.730000,61.900002,80.851067,45.957378,73.430000,35.340000,61.220001,44.009998,68.500000,39.799999,53.919998
2013-02-06,562700,1093972,5863822,847600,16939500,3376400,4981000,9345000,2022600,2132400,62.639999,81.082329,46.298965,74.379997,36.259998,61.490002,45.169998,69.434998,40.790001,54.583332,61.650002,80.444031,45.758121,73.690002,35.450001,60.459999,44.200001,68.430000,40.009998,53.880001
2013-02-07,509300,660059,4535683,845400,11635800,2842100,5097500,15494000,1203500,1616700,62.090000,81.091583,46.526688,73.949997,36.049999,61.750000,45.820000,69.500000,40.770000,54.456669,61.189999,80.268272,45.217281,72.779999,35.509998,60.369999,44.509998,68.014999,40.169998,53.583332
2013-02-08,422700,845342,3183023,760600,11768300,3317300,4763200,8719400,1749700,1139100,63.020000,81.859390,46.284733,74.470001,35.900002,62.230000,45.270000,69.639999,41.049999,54.666668,61.779999,80.786308,45.743889,73.430000,35.540001,60.939999,44.770000,68.695000,40.459999,54.226665
2013-02-11,428200,804913,2995497,610100,8358500,3176500,4172000,8051600,1455300,1678800,62.939999,82.090660,46.327431,74.540001,35.549999,61.820000,44.669998,69.849998,40.560001,54.896667,62.400002,81.507866,45.843517,73.790001,35.099998,60.290001,44.150002,69.074997,39.939999,54.216667
2013-02-12,376300,1004357,4747238,712900,8929000,2779700,6451100,8948200,1102600,2105400,62.939999,82.220169,46.640549,74.489998,35.889999,60.889999,45.299999,69.195000,40.209999,55.000000,62.270000,81.211838,45.985847,73.889999,35.119999,60.119999,44.380001,67.724998,39.860001,54.086666
2013-02-13,1949000,925985,4058401,691300,8276900,3862200,5481500,7626000,1290900,1356900,66.830002,82.377426,47.224091,74.860001,35.930000,63.299999,45.480000,69.885002,40.230000,55.233334,64.050003,81.729881,46.725945,74.110001,35.490002,61.599998,44.820000,68.474998,39.810001,54.856667
2013-02-14,585300,714433,5084700,1055200,7877400,9634700,7641300,4826200,1348300,2083200,65.989998,82.210915,46.768642,75.139999,35.860001,61.900002,45.090000,69.680000,40.480000,55.163334,65.279999,81.433861,46.227802,74.260002,35.400002,61.060001,44.380001,68.955002,39.849998,54.380001
2013-02-15,378800,865232,6348340,1995800,13721600,7182900,13871700,3477600,1208800,2998800,65.860001,82.146164,46.597851,75.900002,35.639999,61.290001,43.799999,70.035004,40.250000,55.756668,65.000000,81.369102,45.743889,74.959999,34.869999,59.880001,42.790001,69.250000,39.520000,54.776669
2013-02-19,731100,604171,4983876,973000,17644800,3519300,8078800,5937200,2986100,2621400,66.809998,82.451431,46.256268,75.769997,35.169998,61.180000,43.389999,69.625000,39.669998,55.500000,65.650002,81.572617,45.758121,74.800003,34.130001,60.380001,42.790001,67.764999,38.459999,54.070000
2013-02-20,462100,1379356,5163041,1235300,34355300,8481500,14308300,5181200,3000600,2779200,65.930000,82.146164,45.928913,75.970001,34.090000,61.400002,42.540001,67.750000,38.490002,54.700001,64.050003,80.989822,44.932625,74.699997,32.009998,60.169998,40.439999,65.745003,37.430000,53.076668
2013-02-21,694100,2165135,8234771,1241900,20612700,1058600,10184000,4398400,2193500,3718200,64.279999,81.174835,44.832996,74.510002,32.930000,59.310001,41.480000,65.324997,37.450001,52.923332,63.259998,78.630898,43.637451,73.610001,31.690001,56.910000,40.509998,64.099998,36.650002,51.556667
2013-02-22,551300,1479349,4085241,1046500,18166000,3972500,10384700,3289800,1823600,3208200,65.250000,79.648476,44.875694,74.949997,32.669998,59.320000,41.759998,66.184998,37.270000,52.660000,64.389999,78.926918,44.078663,74.269997,31.650000,57.970001,40.730000,65.050003,36.430000,51.599998
2013-02-25,665100,1078406,4952329,1443400,16252600,4838100,8504300,3971600,2344500,2955000,65.309998,80.027756,45.160351,75.360001,32.630001,59.680000,41.599998,66.889999,37.070000,53.139999,63.400002,77.909340,43.594753,72.790001,31.459999,56.970001,40.799999,65.139999,36.299999,51.423332
