Date,Volume ADP,Volume DD,Volume ECL,Volume IFF,Volume LYB,Volume NEM,Volume NUE,Volume PPG,Volume SCCO,Volume SHW,Daily Volume Average
1/18/2013,2865382,5793772,941100,344200,2672400,6738100,5357800,11176800,1869800,2851500,4061085.4
1/22/2013,2477895,5154188,1100000,337400,3583900,7030700,3244100,11673200,2119400,2531400,3925218.3
1/23/2013,2019105,6846278,1091100,328300,4122200,5962300,2294700,23592400,2218700,2171100,5064618.3
1/24/2013,2066488,7739222,898400,433700,2664000,5554200,2651700,20920000,3098900,2748600,4877521
1/25/2013,1653828,5566408,736000,278200,2332800,7200500,2058600,26017800,2031100,2355600,5023083.6
1/28/2013,1578312,4964695,770400,312200,5244700,6510500,3392700,16384600,4084300,2183400,4542580.7
1/29/2013,2663210,6260233,563100,314100,5482900,7142200,2732200,10351800,2949600,2321100,4078044.3
1/30/2013,2177768,7209596,757700,374700,2485300,8940800,2672900,4009600,2186800,3636900,3445206.4
1/31/2013,2961742,20940584,1198200,1022200,4498800,9403300,2422200,4834800,2012400,5520000,5481422.6
2/1/2013,2861282,9689449,995000,398700,8406600,6312700,2594300,20167400,1991500,2528100,5594503.1
2/4/2013,3206855,6345600,2018500,317900,4986900,5975500,2107900,11622000,1433800,2890800,4090575.5
2/5/2013,3515182,4634259,876600,496000,3935300,4107800,2141900,12343000,1752000,2199600,3600164.1
2/6/2013,2229251,5863822,847600,411800,3376400,4981000,2938100,9345000,2022600,2132400,3414797.3
2/7/2013,2389508,4535683,845400,937700,2842100,5097500,3010200,15494000,1203500,1616700,3797229.1
2/8/2013,2065235,3183023,760600,623700,3317300,4763200,1197200,8719400,1749700,1139100,2751845.8
2/11/2013,1556330,2995497,610100,289400,3176500,4172000,1367400,8051600,1455300,1678800,2535292.7
2/12/2013,1528994,4747238,712900,240900,2779700,6451100,1516200,8948200,1102600,2105400,3013323.2
2/13/2013,2057148,4058401,691300,292000,3862200,5481500,2237600,7626000,1290900,1356900,2895394.9
2/14/2013,1941881,5084700,1055200,321100,9634700,7641300,2881100,4826200,1348300,2083200,3681768.1
2/15/2013,2497599,6348340,1995800,329300,7182900,13871700,1985800,3477600,1208800,2998800,4189663.9
2/19/2013,1892904,4983876,973000,345400,3519300,8078800,2253600,5937200,2986100,2621400,3359158
2/20/2013,2278911,5163041,1235300,447200,8481500,14308300,3406600,5181200,3000600,2779200,4628185.2
2/21/2013,2625623,8234771,1241900,393600,1058600,10184000,4741300,4398400,2193500,3718200,3878989.4
2/22/2013,1788344,4085241,1046500,263400,3972500,10384700,2359200,3289800,1823600,3208200,3222148.5
2/25/2013,2936570,4952329,1443400,324300,4838100,8504300,3033200,3971600,2344500,2955000,3530329.9
2/26/2013,2226517,4670092,1782400,279600,7557200,9945400,2945000,3456800,3514000,2943900,3932090.9
2/27/2013,1890512,4575099,1731700,309200,5336900,8863800,2301400,2088800,1378500,3312600,3178851.1
2/28/2013,2211938,4470410,2251700,310400,3648900,10834000,2595800,2700600,2016500,4348500,3538874.8
3/1/2013,1940173,4165690,1462300,440900,5650000,9494800,2626600,1854200,1999600,2803800,3243806.3
3/4/2013,2008968,3257780,736300,331400,3376500,9782800,3116000,1574600,1919300,2478600,2858224.8
3/5/2013,2061590,3392821,866100,357200,4684700,8589700,2767100,1673800,1947600,2279400,2862001.1
3/6/2013,1768070,4328976,970400,234200,4936700,9569600,3792600,2598400,1673400,2117400,3198974.6
3/7/2013,4031491,3286657,1105400,182800,2085300,7757700,2351200,1932800,1421600,1525500,2568044.8
3/8/2013,2384838,3227147,700100,293700,3132600,10081300,2665600,2103800,1225000,1374300,2718838.5
