"date","acn_volume","adbe_volume","amd_volume","crm_volume","ibm_volume","intc_volume","intu_volume","nflx_volume","sony_volume","txn_volume"
"2013-01-18","2271600","5561400","41786200","6346000","4769342","143760400","1227500","35999600","9285500","13294700"
"2013-01-22","3331900","2475400","35143000","7501600","7502226","51127400","1155200","22773100","8125000","13045800"
"2013-01-23","3591100","3309000","69200500","5760000","13106903","42432300","1479100","74235000","3233100","9516500"
"2013-01-24","2608500","2605600","32497200","5149600","4651771","58396800","1679700","118805400","4676900","7827500"
"2013-01-25","2908200","3273000","33639700","6508000","3513409","107632800","1516100","191445800","6596300","8436000"
"2013-01-28","3420600","3536100","23636700","8180000","2953590","105398300","1225200","109104800","8251000","7773000"
"2013-01-29","2564500","2935900","20071100","6209600","3783487","105703100","1218000","59542000","5664500","6183000"
"2013-01-30","2321800","2693600","19781200","7241600","3136326","34151300","1754300","48062700","3199100","8352700"
"2013-01-31","2454700","3291900","27846400","4999600","3233604","36534100","3504600","35601300","2597200","13790600"
"2013-02-01","3158800","2416100","18806200","5174000","3525752","31867100","2262700","50358000","5017200","13854400"
"2013-02-04","3185700","2928000","15382300","5354400","3335485","38345600","1968300","50969100","6403800","16353400"
"2013-02-05","2531200","2355600","12440400","3767200","3804197","30076500","1778700","57056300","4171100","8434100"
"2013-02-06","2706100","2567800","8831000","4883200","3790913","32361000","1882400","67190900","3638200","9102400"
"2013-02-07","2973700","3110300","6780200","4346000","3218228","41015200","3569600","53086600","7780900","10626900"
"2013-02-08","2000100","5104600","5972800","4284000","3026392","28150100","5142100","25657800","4721800","13022900"
"2013-02-11","1880100","2333800","22415300","5684000","3080156","18897200","2166900","29325100","2030000","8275000"
"2013-02-12","1710300","3279500","13675500","5906400","2575043","28391400","1498800","34399400","2725800","7055500"
"2013-02-13","1884700","2491000","11495000","4106800","2269611","21267200","1759500","40929000","5936300","5424700"
"2013-02-14","2096100","4929700","13289000","6841200","3445733","35262200","2988200","31979500","3259400","6394200"
"2013-02-15","3221900","2367900","10718400","5413600","3794679","33809100","2139900","26652500","2641400","6519100"
"2013-02-19","2787600","2056500","19819200","3497200","3136222","31061600","1421800","34138300","2489800","6098000"
"2013-02-20","2639900","3129600","21361700","5296800","3886308","46119800","2107800","34996500","3113100","8968900"
