Date,Open,High,Low,Close,Adj Close,Volume
1/22/2013,12.19,12.24,12,12.24,12.24,188300
1/23/2013,12.22,12.43,12.21,12.4,12.4,222100
1/24/2013,12.37,12.57,12.3,12.37,12.37,314600
1/25/2013,12.48,12.5,12.32,12.35,12.35,181800
1/28/2013,12.4,12.42,12.22,12.34,12.34,208300
1/29/2013,12.31,12.5,12.3,12.4,12.4,230500
1/30/2013,12.35,12.46,11.96,11.98,11.98,224300
1/31/2013,12.05,12.32,12,12.15,12.15,194700
2/1/2013,12.2,12.45,12.1,12.31,12.31,188900
2/4/2013,12.19,12.45,12.14,12.26,12.26,204400
2/5/2013,12.33,12.47,12.23,12.39,12.39,139300
2/6/2013,12.32,12.36,12.01,12.08,12.08,274800
2/7/2013,12.09,12.12,11.28,11.71,11.71,462700
2/8/2013,11.73,11.73,11.06,11.08,11.08,372800
2/11/2013,11.05,11.34,10.85,11.31,11.31,336500
2/12/2013,11.29,11.48,11.17,11.48,11.48,245800
2/13/2013,11.99,12.7,11.99,12.69,12.69,499100
2/14/2013,12.68,12.7,12.36,12.43,12.43,224700
2/15/2013,12.49,12.8,12.48,12.76,12.76,421900
2/19/2013,12.82,12.94,12.78,12.84,12.84,267600
2/20/2013,12.86,12.87,12.4,12.4,12.4,252500
2/21/2013,12.4,12.94,12.38,12.94,12.94,427000
2/22/2013,12.72,12.98,10.34,12.53,12.53,2158800
2/25/2013,12.72,12.84,12.5,12.75,12.75,630600
2/26/2013,12.81,14,12.73,13.9,13.9,786700
2/27/2013,13.89,14,13.57,13.74,13.74,431800
2/28/2013,13.75,14.43,13.71,14.1,14.1,426300
3/1/2013,14.04,14.31,13.97,14.23,14.23,450900
3/4/2013,14.19,14.65,14.19,14.29,14.29,473000
3/5/2013,14.3,14.63,14.25,14.54,14.54,736700
3/6/2013,14.64,15.26,14.56,14.65,14.65,518500
3/7/2013,14.7,14.93,14.51,14.64,14.64,413400
3/8/2013,14.8,14.91,14.72,14.83,14.83,357800
3/11/2013,14.86,15.09,14.85,15.08,15.08,415600
3/12/2013,15.04,15.22,14.77,14.83,14.83,304700
3/13/2013,14.85,15.25,14.85,15.22,15.22,257800
3/14/2013,15.28,15.68,15.28,15.55,15.55,355700
3/15/2013,15.53,15.66,14.89,15.08,15.08,942400
3/18/2013,15.18,15.36,15.05,15.13,15.13,583500
3/19/2013,15.23,15.35,15.09,15.16,15.16,409600
3/20/2013,15.23,15.7,15.23,15.61,15.61,348500
3/21/2013,15.74,15.74,15.36,15.38,15.38,253800
3/22/2013,15.4,15.58,15.32,15.39,15.39,163800
3/25/2013,15.4,15.94,15.4,15.75,15.75,322300
3/26/2013,15.8,15.91,15.4,15.71,15.71,160800
3/27/2013,15.66,15.83,15.45,15.76,15.76,127400
3/28/2013,15.81,15.85,15.69,15.83,15.83,267800
4/1/2013,15.83,15.86,15.29,15.63,15.63,289400
4/2/2013,15.73,15.91,15.51,15.63,15.63,340400
4/3/2013,15.62,15.62,14.54,14.9,14.9,531100
4/4/2013,14.92,14.92,14.57,14.79,14.79,460900
4/5/2013,14.56,14.76,14.3,14.42,14.42,391400
4/8/2013,14.49,14.61,14.42,14.59,14.59,351200
4/9/2013,14.58,14.61,14.16,14.18,14.18,270900
4/10/2013,14.32,14.5,14.14,14.44,14.44,520900
4/11/2013,14.45,14.72,14.25,14.67,14.67,266200
4/12/2013,14.64,14.79,14.55,14.77,14.77,213700
4/15/2013,14.71,14.74,13.52,13.65,13.65,379900
4/16/2013,13.85,14.06,13.31,13.92,13.92,342400
4/17/2013,13.76,13.85,13.46,13.72,13.72,249100
4/18/2013,13.76,13.85,13.35,13.44,13.44,197600
4/19/2013,13.44,14,13.44,13.77,13.77,199600
4/22/2013,13.8,13.85,12.9,13.31,13.31,344700
4/23/2013,13.36,13.73,13.24,13.58,13.58,376800
4/24/2013,13.51,13.67,13.37,13.51,13.51,282600
4/25/2013,13.45,13.82,13.41,13.8,13.8,251500
4/26/2013,13.69,13.75,13.26,13.48,13.48,184400
4/29/2013,13.4,13.78,13.4,13.61,13.61,127600
4/30/2013,13.65,13.83,13.63,13.73,13.73,214800
5/1/2013,13.66,13.71,12.97,13.1,13.1,473300
5/2/2013,13.17,13.32,12.29,12.76,12.76,1461900
5/3/2013,13.5,14.14,12.83,13.95,13.95,1085100
5/6/2013,13.89,14.2,13.69,13.69,13.69,328900
5/7/2013,13.72,14.08,13.69,13.92,13.92,155000
5/8/2013,13.84,13.87,13.4,13.76,13.76,303700
5/9/2013,13.75,13.88,13.53,13.78,13.78,168900
5/10/2013,13.8,14.06,13.65,14.05,14.05,159700
5/13/2013,13.97,14.01,13.62,13.9,13.9,163700
5/14/2013,13.96,14.35,13.89,14.33,14.33,256500
5/15/2013,14.32,14.45,14.13,14.13,14.13,168900
5/16/2013,14.02,14.21,13.84,13.98,13.98,139100
5/17/2013,14.09,14.27,13.95,14.22,14.22,195300
5/20/2013,14.13,14.27,13.78,13.92,13.92,177100
5/21/2013,13.88,13.92,13.55,13.62,13.62,204200
5/22/2013,13.6,13.81,13.06,13.22,13.22,292500
5/23/2013,13.03,13.62,13,13.55,13.55,167400
5/24/2013,13.42,13.64,13.24,13.43,13.43,154600
5/28/2013,13.68,14.18,13.64,14.14,14.14,201400
5/29/2013,13.99,14.01,13.62,13.75,13.75,112000
5/30/2013,13.76,13.86,13.57,13.58,13.58,124200
5/31/2013,13.46,13.66,13.34,13.39,13.39,183600
6/3/2013,13.47,13.73,13.08,13.17,13.17,386600
6/4/2013,13.15,13.77,13.12,13.66,13.66,588700
6/5/2013,13.69,14.15,13.69,13.91,13.91,561200
6/6/2013,13.92,14.32,13.91,14.32,14.32,285100
6/7/2013,14.45,15.16,14.4,14.93,14.93,676100
6/10/2013,15.01,15.13,14.65,14.92,14.92,210700
6/11/2013,14.73,14.88,14.27,14.73,14.73,205800
6/12/2013,14.87,14.88,14.49,14.53,14.53,129100
6/13/2013,14.5,14.84,14.25,14.8,14.8,158000
6/14/2013,14.85,14.93,14.31,14.34,14.34,143100
6/17/2013,14.47,14.59,13.89,13.91,13.91,287400
6/18/2013,13.95,14.55,13.9,14.51,14.51,201300
6/19/2013,14.51,14.59,14,14.05,14.05,133300
6/20/2013,13.97,14.07,13.7,13.99,13.99,263700
6/21/2013,14.08,14.41,14.01,14.4,14.4,396900
6/24/2013,14.27,14.31,13.97,14.06,14.06,237900
6/25/2013,14.19,14.36,14.06,14.23,14.23,174300
6/26/2013,14.36,14.36,13.91,14.08,14.08,197700
6/27/2013,14.18,14.38,14.12,14.32,14.32,133700
6/28/2013,14.27,14.37,14.08,14.32,14.32,1086700
7/1/2013,14.18,15.23,14.18,15.12,15.12,439400
7/2/2013,15.09,15.73,14.96,15.1,15.1,702700
7/3/2013,14.98,15.53,14.86,15,15,260900
7/5/2013,15.22,15.42,14.87,15.33,15.33,232700
7/8/2013,15.33,15.44,15.05,15.4,15.4,266500
7/9/2013,15.5,15.55,15.2,15.4,15.4,249500
7/10/2013,15.44,15.58,15.26,15.44,15.44,227900
7/11/2013,15.64,15.66,15.37,15.41,15.41,235900
7/12/2013,15.4,15.52,15.39,15.41,15.41,223000
7/15/2013,15.67,15.67,15.43,15.48,15.48,157900
7/16/2013,15.55,15.59,15.35,15.41,15.41,186600
7/17/2013,15.48,15.61,15.39,15.49,15.49,211900
7/18/2013,15.59,15.66,15.47,15.58,15.58,217400
7/19/2013,15.44,15.54,15.37,15.42,15.42,195400
7/22/2013,15.35,15.47,15.21,15.37,15.37,175900
7/23/2013,15.43,15.43,14.7,14.94,14.94,396000
7/24/2013,15,15.1,14.82,14.89,14.89,278700
