,Date,Volume_Ford,Volume_GM,Volume_Mercedes,Volume_Maruti,Volume_Mahindra,Volume_STLA,Volume_TataMotors,Volume_TSLA,Volume_VOW3,Volume_Toyota
0,2013-01-02,75274700,15605900,4720976,801361.0,2060272.0,0,2179200,17922000,1195904,535700
1,2013-01-03,121284700,22903800,2342646,584243.0,1902904.0,0,1114600,11130000,609492,539800
2,2013-01-04,54669900,8066600,3238283,361754.0,1914216.0,115520,1428500,10110000,494237,743800
3,2013-01-07,43482400,8385300,5169510,951298.0,2523912.0,304,1211600,6630000,815870,325500
4,2013-01-08,46336200,10435200,3368617,640368.0,1769202.0,0,1115900,19260000,725801,501000
5,2013-01-09,36973900,13341400,3682225,671715.0,2354020.0,0,3417100,10470000,920514,379000
6,2013-01-10,84884300,12115400,3507143,911264.0,1518936.0,0,1228300,13837500,767770,452000
7,2013-01-11,67641200,6862900,3099453,812488.0,1949538.0,304,780900,23448000,789924,495100
8,2013-01-14,46224800,6634700,3829310,1491642.0,1252832.0,2584,1369400,13876500,685739,602800
9,2013-01-15,55425000,7497500,4593380,693345.0,2584822.0,91808,1554300,24363000,626859,1054800
10,2013-01-16,51453400,28298900,2751949,1202364.0,2349322.0,0,1896300,20673000,651430,700400
11,2013-01-17,44299300,12064700,3509563,986779.0,2400242.0,0,1480200,21550500,753557,744600
12,2013-01-18,45716100,9993700,4569431,1741932.0,5929114.0,0,1954200,53326500,784753,517600
13,2013-01-22,35467900,18538600,3329194,930310.0,1464620.0,0,1510300,28803000,896102,558400
14,2013-01-23,58122200,11355300,2745097,841493.0,1853356.0,0,6981700,23464500,638487,422400
15,2013-01-24,42532700,8398900,2668511,575646.0,2272096.0,1520,2951000,29556000,536271,521900
16,2013-01-25,53405400,10258400,3542052,2993882.0,2626786.0,15960,1996700,19317000,710417,372900
17,2013-01-28,51189300,7038300,2906880,1157319.0,2654740.0,2128,1654500,29790000,651136,416500
18,2013-01-29,131146500,13059800,3700426,703176.0,3007664.0,4712,3435300,21399000,801605,370400
19,2013-01-30,59595900,11230700,3222980,649445.0,1418660.0,608,1136000,14521500,605187,256800
20,2013-01-31,65844000,8685200,5166308,933230.0,2278724.0,0,1809300,13521000,719587,329700
21,2013-02-01,45222500,10713800,3613298,895967.0,1398676.0,7144,1516200,16509000,876789,535000
22,2013-02-04,32702200,6508900,6129872,416405.0,1911016.0,3040,1183300,16920000,922724,650500
23,2013-02-05,39116500,11097500,4694656,491977.0,1398634.0,17176,1787100,19653000,1006163,714500
24,2013-02-06,33520400,7010500,6106690,1082611.0,2203620.0,9120,881900,28398000,987556,1104900
25,2013-02-07,33987500,10493500,9911159,480018.0,1770238.0,7904,1468200,17949000,857829,682000
26,2013-02-08,18613300,6316700,5981103,659412.0,6374558.0,0,1057900,17097000,694837,779500
27,2013-02-11,17688900,5589900,3630129,361453.0,2140968.0,1064,1203100,48994500,544312,700100
28,2013-02-12,26243300,7175600,3995834,442763.0,1191346.0,0,2972900,33919500,571169,455300
29,2013-02-13,24503600,9283900,3426717,598533.0,1802018.0,1520,1944400,14502000,583837,855600
30,2013-02-14,33489000,19226200,3474215,1655638.0,3293954.0,304,2175600,14860500,637017,535300
31,2013-02-15,32418700,12861100,4001258,688998.0,3271588.0,0,2022700,30264000,716339,478700
32,2013-02-19,31089900,7086100,3622577,814306.0,1315964.0,0,2008200,40521000,846316,753100
33,2013-02-20,50381800,7236600,3558783,639004.0,3005672.0,1520,1780400,46830000,540029,602100
34,2013-02-21,43703700,13893200,4440810,957074.0,3804512.0,0,2141100,135567000,806036,608600
35,2013-02-22,23866400,9279400,4637051,648683.0,2926370.0,0,1658300,38209500,3589001,694400
36,2013-02-25,38627200,11121400,5439470,399084.0,2315532.0,0,1527900,43341000,2382106,697300
37,2013-02-26,29191400,13363500,5507268,686212.0,2102498.0,152,2738300,41443500,1315783,845700
38,2013-02-27,51569900,13115700,3744004,504783.0,3706706.0,1520,1967000,29388000,1171693,434600
39,2013-02-28,37659400,10305500,3119663,2957853.0,8501418.0,456,2600700,29473500,893076,538800
40,2013-03-01,38806100,9017700,4247479,935306.0,5771830.0,0,1722500,23199000,1379066,925800
